"Freq-terms"	"Freq"	"MI-terms"	"MI"	"Dice-Terms"	"Dice"	"LL-Terms"	"LL"
"1"	"argel"	66	"argel"	6.65206114390176	"argel"	1	"argel"	1009.98680467671
"2"	"llegar"	24	"venecia"	5.95891396334181	"navío"	0.172043010752688	"cautivo"	116.191981113283
"3"	"don"	20	"apresar"	5.48891033409608	"mahoma"	0.166666666666667	"turco"	98.0136690596119
"4"	"cautivo"	16	"aprisionado"	5.47340614756011	"navio"	0.156862745098039	"mahoma"	88.9320542276837
"5"	"turco"	15	"navío"	5.43566581957727	"cautivo"	0.150234741784038	"llegar"	81.5485171917826
"6"	"ciudad"	13	"gimo"	5.26576678278187	"venecia"	0.131578947368421	"navío"	74.6708830664866
"7"	"rico"	12	"navio"	5.14798374712549	"apresar"	0.121951219512195	"don"	71.5418761246838
"8"	"mar"	12	"resplandecer"	5.11161610295461	"turco"	0.115384615384615	"navio"	69.3679327655118
"9"	"ley"	12	"collar"	5.04262323146766	"vela"	0.113207547169811	"vela"	62.074134683935
"10"	"doña"	11	"zaido"	5.04262323146766	"jacinto"	0.106382978723404	"ley"	59.9859891987871
"11"	"mahoma"	11	"franqueza"	5.04262323146766	"aprisionado"	0.10126582278481	"ciudad"	58.9495716900565
"12"	"hermoso"	10	"sacado"	4.94731305166333	"embarcar"	0.0930232558139535	"castigo"	56.5741447610781
"13"	"far"	10	"jacinto"	4.92929454616065	"concepto"	0.0909090909090909	"rico"	55.3596715377644
"14"	"castigo"	10	"mahoma"	4.8603016746737	"viaje"	0.0847457627118644	"venecia"	53.057855720399
"15"	"dejar"	10	"estimacion"	4.70615099484645	"castigo"	0.0778210116731518	"embarcar"	50.941569268005
"16"	"padre"	9	"concepto"	4.4773094224176	"gimo"	0.0769230769230769	"apresar"	47.0603698790073
"17"	"mil"	9	"cautivo"	4.4342172793628	"venta"	0.0763358778625954	"mar"	45.3117548401933
"18"	"vela"	9	"algazar"	4.41846892239466	"resplandecer"	0.075	"doña"	44.1799009072129
"19"	"grande"	8	"haciéndo"	4.41846892239466	"abismo"	0.0740740740740741	"jacinto"	40.687468471704
"20"	"dios"	8	"fragata"	4.38337760258339	"zaido"	0.0740740740740741	"cadena"	39.8822577041574
"21"	"embarcar"	8	"sicilia"	4.34947605090771	"cadena"	0.0721649484536082	"aprisionado"	37.4372183841188
"22"	"navio"	8	"perdonei"	4.34947605090771	"sacrificio"	0.0707964601769911	"concepto"	35.8455503673758
"23"	"moro"	8	"escelsar"	4.34947605090771	"tender"	0.0685714285714286	"tender"	34.1705055523198
"24"	"navío"	8	"vela"	4.31668622808472	"replicar"	0.0683760683760684	"viaje"	34.1000834021252
"25"	"vida"	7	"viaje"	4.31025533775443	"teresa"	0.0655737704918033	"puerto"	33.7976250262
"26"	"cielo"	7	"abismo"	4.30068588673828	"contentar"	0.0650406504065041	"comprar"	33.7281414228491
"27"	"noche"	7	"buelta"	4.25416587110339	"cercar"	0.0645161290322581	"teresa"	33.3160123405978
"28"	"puerto"	7	"moros"	4.25416587110339	"algazar"	0.0638297872340425	"venta"	31.7976438063197
"29"	"cadena"	7	"alfanje"	4.25416587110339	"haciéndo"	0.0638297872340425	"leonor"	31.3361576569732
"30"	"comprar"	7	"rusia"	4.25416587110339	"grillo"	0.0636942675159236	"moro"	29.7917674633209
"31"	"dolor"	7	"pusir"	4.20971410853255	"profundo"	0.0632911392405063	"grillo"	28.3801416729111
"32"	"rey"	6	"sacrificio"	4.18820790331159	"fragata"	0.0631578947368421	"profundo"	28.2701441394165
"33"	"à"	6	"quinientos"	4.16715449411376	"rendir"	0.0617283950617284	"rendir"	27.8423786321655
"34"	"teresa"	6	"espero"	4.16715449411376	"ley"	0.0615384615384615	"abismo"	27.1385995545425
"35"	"señor"	6	"despavorido"	4.16715449411376	"moros"	0.0606060606060606	"gimo"	26.5768301452044
"36"	"gozar"	6	"replicar"	4.10652987229732	"leonor"	0.0588235294117647	"principe"	26.212186653167
"37"	"plaza"	6	"turco"	4.09225318594064	"regocijo"	0.0571428571428571	"sacrificio"	26.2077836235985
"38"	"contento"	6	"maltratado"	4.08711178644022	"renegar"	0.0566037735849057	"replicar"	25.5358282225206
"39"	"tender"	6	"diste"	4.08711178644022	"principe"	0.0558659217877095	"resplandecer"	25.5295730556827
"40"	"maría"	6	"venta"	4.08711178644022	"navegar"	0.0555555555555556	"zaido"	25.0682033856865
