"Freq-terms"	"Freq"	"MI-terms"	"MI"	"Dice-Terms"	"Dice"	"LL-Terms"	"LL"
"1"	"sevilla"	1328	"sevilla"	5.95415810580394	"sevilla"	1.14285714285714	"sevilla"	23152.3229899742
"2"	"don"	323	"córcega"	5.46395176924068	"medina"	0.0608203677510608	"don"	586.725849695504
"3"	"ciudad"	228	"sicilias"	5.46395176924068	"madrid"	0.0596858638743456	"ciudad"	570.45437874645
"4"	"rey"	176	"priego"	5.4529019330541	"córdoba"	0.0555941626129256	"capítulo"	430.446462089196
"5"	"capítulo"	156	"constantina"	5.41516160507125	"flandes"	0.0548494983277592	"españa"	314.262600986287
"6"	"año"	151	"aroche"	5.41516160507125	"castilla"	0.0546102097348635	"medina"	273.10303251259
"7"	"salir"	145	"garduña"	5.30980108941343	"indias"	0.0476935105551212	"castilla"	268.31469733268
"8"	"venir"	141	"carmona"	5.29453361728264	"pizarro"	0.0449799196787149	"año"	267.787757804617
"9"	"llegar"	139	"utrera"	5.12747953261947	"capítulo"	0.0447055452070497	"madrid"	267.275428339839
"10"	"pasar"	138	"filardo"	5.0923882128082	"españa"	0.0419150858175248	"córdoba"	239.664102258161
"11"	"señor"	126	"almojarifazgo"	5.00969649696309	"ciudad"	0.0405009325872635	"flandes"	231.939375422895
"12"	"dejar"	125	"aduana"	4.95562927569281	"asistente"	0.0391517128874388	"pasar"	231.009077677503
"13"	"cosa"	122	"brabante"	4.90433598130526	"contratación"	0.0387296669248644	"indias"	219.679281620309
"14"	"españa"	116	"relaciones"	4.90433598130526	"toledo"	0.0366132723112128	"pizarro"	197.644226938486
"15"	"hombre"	105	"trapaza"	4.89263994154207	"valencia"	0.0365239294710327	"pedro"	195.743522534147
"16"	"querer"	105	"asistente"	4.83979746016769	"fernando"	0.0332390381895332	"asistente"	195.440386654809
"17"	"tierra"	101	"bruselas"	4.79100729599826	"francisco"	0.0330658886457574	"contratación"	165.321603313088
"18"	"casa"	99	"zayda"	4.79100729599826	"lisboa"	0.0327868852459016	"francisco"	164.643397592008
"19"	"juan"	98	"guadalquivir"	4.78655294564888	"arzobispo"	0.0317057704502219	"salir"	158.463962726295
"20"	"grande"	97	"triana"	4.72201442451131	"ducado"	0.0307234886025768	"dejar"	156.458353260532
"21"	"pedro"	95	"mosén"	4.72201442451131	"relación"	0.0306807286673058	"llegar"	156.32170529291
"22"	"gente"	92	"manzanilla"	4.72201442451131	"pedro"	0.0302499601974208	"rey"	152.249442627653
"23"	"padre"	89	"aljarafe"	4.72201442451131	"corte"	0.0292347377472055	"juan"	146.434476388618
"24"	"hallar"	88	"philipe"	4.72201442451131	"feria"	0.0292275574112735	"corte"	144.622082678601
"25"	"capitán"	86	"cerdeña"	4.69461545032319	"almagro"	0.0292226767971946	"trapaza"	140.589762017131
"26"	"mil"	85	"embargado"	4.61665390885348	"veinticuatro"	0.0291332847778587	"venir"	137.718970721588
"27"	"río"	79	"deslindar"	4.61665390885348	"rufina"	0.0287671232876712	"toledo"	134.940356729552
"28"	"quedar"	76	"remita"	4.61665390885348	"cambio"	0.028604118993135	"lisboa"	134.510914467275
"29"	"amigo"	76	"tormes"	4.61665390885348	"majestad"	0.0283882783882784	"san"	132.768462998793
"30"	"santo"	71	"consulado"	4.5968512815573	"trapaza"	0.0282157676348548	"majestad"	130.815934494138
"31"	"reino"	70	"écija"	4.56786374468405	"ilustre"	0.0281984334203655	"fernando"	130.251982064918
"32"	"llamar"	70	"lúcar"	4.53969286771735	"diego"	0.028023598820059	"valencia"	128.790991837159
"33"	"volver"	69	"coria"	4.52134372904916	"arenal"	0.027972027972028	"guadalquivir"	128.077009184286
"34"	"san"	69	"abreu"	4.4988708731971	"don"	0.0278796771826853	"río"	127.128673704341
"35"	"castilla"	69	"murcia"	4.46250322902622	"mendoza"	0.0274689339437541	"triana"	125.562853118405
"36"	"real"	68	"ahorrado"	4.43433235205953	"año"	0.0274370854910511	"filardo"	123.066391343251
"37"	"corte"	68	"tablada"	4.43433235205953	"granada"	0.027431421446384	"carmona"	121.767571374774
"38"	"francisco"	68	"andaluzía"	4.43433235205953	"hacienda"	0.0269030877407521	"diego"	121.476400496438
"39"	"caballero"	67	"anfiteatro"	4.39351035753927	"san"	0.0267961165048544	"capitán"	118.277233526111
"40"	"doña"	66	"criolla"	4.35428964438599	"calle"	0.0267605633802817	"mil"	118.270145619288
