Comedia venatoria
Luis de Góngora y Argote.


Los que hablan en ella son:				
CUPIDO				
SILVIO				
FLORISCIO				
CAMILA				
CINTIA				

				
(Sale CUPIDO.)				
CUPIDO	 Aunque en humildes paños escondido			
	y disfrazado en hábito villano,			
	si es el mismo que desnudo soy vestido,			
	 aquel dios soy del coro soberano			
	cuya dorada flecha y llama ardiente	5		
	ha quitado mil veces de la mano			
	 el duro rayo al dios omnipotente,			
	al fïero Marte la sangrienta espada			
	y al gran Neptuno el húmido tridente,			
	 y he hecho con mi diestra no domada	10		
	en medio el suyo conocer mi fuego			
	al negro Dios de la infernal morada.			
	 ¿Qué me extrañáis? Alado soy y ciego,			
	aunque sin venda, y alas me ha traído			
	de un noble cazador el justo ruego,	15		
	 la humilde voz, el mísero gemido			
	de un noble cazador, amador noble,			
	siempre olvidado, nunca arrepentido;			
	 cuya grave pasión y pena doble			
	ha vencido el desdén y la dureza	20		
	del laurel casto y del robusto roble,			
	 y dellos cada cual por su corteza			
	lágrimas muchas veces ha sudado			
	de amor el lauro, el roble de terneza.			
	 Por él, y lo que es más, acá he bajado,	25		
	porque sienta su ingrata cazadora			
	la dulce flecha del arpón dorado			
	 y siga, no tan libre como agora,			
	la aljaba al hombro, con ligero paso,			
	del venado la planta voladora;	30		
	 mas, con semblante de piedad no escaso,			
	escuche al que le informa en voz doliente			
	del amor suyo el lacrimoso caso.			
	 Pues no es razón que sola ella se cuente,			
	con rostro siempre enjuto, las pasiones	35		
	de la amorosa miserable gente,			
	 siendo yo aquel que enclavo corazones			
	desde do nace el Sol a donde muere			
	y desde Mediodía a los Trïones;			
	 así, pues, cuando aqueste brazo quiere,	40		
	aqueste arco es quien lanza esta saeta,			
	y esta punta dorada es quien los hiere.			
	 Para dejarla a su pesar sujeta,			
	quiero esconder este arco y esta aljaba			
	de este bosque en la parte más secreta,	45		
	 que, por la misma mano del que odiaba			
	(como veréis), ha de quedar hoy hecha			
	mansa y humilde, de soberbia y brava.			
	 Quédese el arco, quédese la flecha,			
	en tanto que yo sigo, disfrazado,	50		
	desde espeso jaral la senda estrecha;			
	 porque entre los monteros que han llegado			
	del Príncipe de Tebas este día			
	a perseguir el puerco y el venado,			
	 quiero de esa robusta montería	55		
	algún rato gozar desconocido,			
	y de su generosa cetrería:			
	 y al fin dar a entender que soy Cupido,			
	aunque en humildes paños escondido.			
(Vase. Salen SILVIO y FLORISCIO.)				
SILVIO	 A mil torcidos cuernos dando aliento,	60		
	mil ecos cazadores mil entonan,			
	y con templados pájaros al viento,			
	y a la tierra con perros, no perdonan:			
	la raridad del aire en puntas ciento			
	halcones solicitan y coronan;	65		
	la nariz baja, canes extranjeros			
	calando el monte van con pies ligeros.			
	 La blanca garza, que al romper del día,			
	el rojo pie escondido en la laguna,			
	las plumas del gentil pecho pulía	70		
	con el purpúreo pico de una en una,			
	y el viejo ciervo que a la par vivía			
	del bosque, hoy teñirán, sin falta alguna,			
	la garza del neblí las garras gruesas,			
	el ciervo del lebrel las fieras presas.	75		
	 Tal es el aparato que ha traído			
	y de tantos monteros se acompaña,			
	que ave no abrigará su dulce nido,			
	ni fïera pisará más la montaña,			
	de espesas redes bien apercibido,	80		
	para que ciña con manera extraña			
	del vasto monte el áspero costado,			
	fuerte muro de cáñamo anudado.			
	 En sola su confusa montería			
	hay donde un buen oído se dilate:	85		
	el corvo cuerno truena, el halcón pía,			
	el caballo relincha, el perro late,			
	el cascabel no olvida su armonía			
	si se sacude el pájaro o se abate;			
	así que todo hace un dulce yerro,	90		
	caballo, cascabel, cuerno, halcón, perro...			
FLORISCIO	 ¿Viene gallardo el Príncipe?			
SILVIO	 Gallardo			
	y galán viene, a fe, sobre manera.			
FLORISCIO	¿Y de qué se vistió?			
SILVIO	 De verde y pardo,			
	o de mezclilla, que una y otro era.	95		
FLORISCIO	¿Con qué armas piensa andar?			
SILVIO	 Con solo un dardo			
	de firme cuento y de cuchilla fiera,			
	y un fuerte estoque a su siniestro lado			
	de un tahelí pendiente dilatado.			
	 Tal se mostró aquel día al monte armado	100		
	el rubio mozo, por su mal valiente,			
	que manchó con su sangre el verde prado			
	del jabalí cerdoso el fïero diente;			
	y tal aquel montero desdichado,			
	cuya temeridad pobló su frente	105		
	de vengativos cuernos, en mal hora			
	fue visto de la casta cazadora.			
FLORISCIO	 Soberbia caza se nos adereza;			
	pero dime, ¿de Cintia y de Camila			
	has merecido hoy ver la gran belleza	110		
	en sus albergues o en el monte?			
SILVIO	 Vila			
	adonde de aquel risco la dureza,			
	sobre aquella aunque tosca hermosa pila,			
	en tres Alpes tres venas se desata			
	en líquida, en templada, en dulce plata.	115		
FLORISCIO	 ¿Y di, estarán allí?			
SILVIO	 ¡Ay!, se habrán ido			
	a seguir con sus arcos una fïera			
	que el sabueso de Cintia había sentido			
	de aquel peinado cerro en la ladera.			
ELORISCIO	Busquémoslas; sabrán cómo es venido	120		
	el Príncipe, que cada cual espera.			
SILVIO	Vamos; mas helas, vienen.			
(Salen CAMILA y CINTIA.)				
CAMILA	 Yo me espanto			
	cómo con tal herida corrió tanto.			
CINTIA	 Tan ligero el corzo es,			
	que no da menos enojos	125		
	el seguillo con los ojos			
	que alcanzallo con los pies;			
	 y así por mi cuenta hallo			
	que, si consientes decillo,			
	hizo más que tú en herillo,	130		
	la saeta en alcanzallo.			
	 Mas quede el brazo contento,			
	Camila, pues que de hoy más,			
	aunque imposible, podrás			
	decir que has herido al viento;	135		
	y quede la mano ufana,			
	pues lo hirió de manera			
	que más herido no fuera			
	de la mano de Diana.			
	 Pues de tal suerte corría	140		
	que, mientras se desangraba,			
	rastro hacer no dejaba			
	de la sangre que vertía;			
	 porque, como viste y vi,			
	siguiéndole su derrota,	145		
	aquí dejaba una gota			
	y otra una legua de allí.			
CAMILA	 Bien corrió el ciervo; mas baste,			
	Cintia, para encarecer			
	lo que le vimos correr,	150		
	decir que no le alcanzaste			
	 tú, que en correr y saltar			
	tienes ligereza tanta,			
	que sin mojarte la planta			
	puedes correr sobre el mar,	155		
	 y, aunque agora te fatigas,			
	correr y echar mil traveses			
	sobre levantadas mieses			
	sin inclinar sus espigas.			
	 Y así, pues que te cansó	160		
	muy mucho como el corcillo,			
	mucho hice yo en herillo,			
	mucho la flecha voló.			
FLORISCIO	 Por bien graciosa manera			
	se alaban ellas agora,	165		
	la una de cazadora,			
	y la otra de ligera.			
SILVIO	 Aguardemos hasta ver			
	si tienen, en tal lugar,			
	Camila más que tirar	170		
	y Cintia más que correr.			
CAMILA	 Pero, Cintia, si se nota,			
	bien salimos, por mi vida,			
	tú con la aljaba perdida			
	y yo con la cuerda rota.	175		
CINTIA	 La aljaba se me ha perdido.			
CAMILA	Así lo puedes creer,			
	si no se quedó al correr			
	tras el corcillo herido.			
CINTIA	 No sé cómo la perdí,	180		
	ni aun entiendo de qué suerte			
	rompiste tú una tan fuerte			
	cuerda de un tirón.			
CAMILA	 Yo sí;			
	 con tal fuerza y tan de veras			
	el arco quise flechar	185		
	por herillo, que juntar			
	hice las dos empulgueras:			
	 él la flecha despidió,			
	y, queriendo abrirse cuanto			
	lo junté, como fue tanto,	190		
	la cuerda no lo sufrió.			
CINTIA	 Tras de una fïera muy brava			
	yo no sé qué más se pierda			
	que, por herillo, una cuerda			
	y, por seguillo, una aljaba.	195		
	 A buscallo quiero ir yo.			
CAMILA	Muy buena estaría la ida:			
	tú serías la perdida			
	en ir, y el aljaba no.			
SILVIO	 Salgamos a consolalla,	200		
	que amor acá me remuerde.			
FLORISCIO	Aguarda.			
CAMILA	 Aun lo que se pierde			
	en lo llano, no se halla;			
	 cuanto más lo que perdiste			
	entre matas tan espesas.	205		
CINTIA	Muestras de alegre son esas.			
CAMILA	Y aun esas muestras de triste.			
CINTIA	 No hay negallo, triste estoy.			
CAMILA	Pues, porque no lo estés más,			
